SubjID,Landmark,OX,OY,OZ,MX,MY,MZ
I0951,Sbal,-6.15882,-22.6964,85.6605,-5.580344282,-22.86857027,86.69965533
I0951,Ch,-24.3873,-40.2836,68.4581,-24.49757246,-40.27476611,67.00159994
I0951,Prn,2.37189,-14.6688,106.992,2.37189,-14.6688,106.992
J6687,Ft,-57.6479,54.3767,34.9359,-56.98386076,52.73038722,33.32475829
J6687,Ex,-37.4473,31.5634,62.1693,-37.19447879,33.01439687,62.80278871
J6687,En,-8.95721,27.8654,68.9262,-7.717262538,28.14295418,67.94161049
J6687,Al,-7.77409,-11.8446,73.5369,-8.730571821,-11.76726748,72.99910833
J6687,Sbal,-3.49036,-12.879,79.8321,-2.927335301,-13.35912171,79.90266272
J6687,Ch,-17.5901,-31.6192,68.3067,-16.75259668,-31.05419463,66.65477678
J6687,Prn,7.59526,-7.7646,99.3899,7.59526,-7.7646,99.3899
K6431,Ft,-49.7622,91.8086,48.1449,-50.69365527,90.77263222,46.77078554
K6431,Ex,-36.9038,76.5028,63.0264,-37.12602445,77.13132415,63.70307296
K6431,En,-8.6619,73.2816,68.263,-8.556172351,74.32550194,69.56965806
K6431,Al,-10.0779,31.6438,77.1573,-9.166325658,33.30003227,76.58898792
K6431,Sbal,-6.42273,28.4556,83.5114,-6.949525922,29.5488427,84.66325116
K6431,Ch,-24.0796,8.46423,65.3913,-23.99996511,7.306240857,66.18510834
K6431,Prn,4.93975,32.2226,104.09,4.93975,32.2226,104.09
L2985,Ft,-62.6644,48.9515,48.7,-62.01800587,49.93264205,48.58151666
L2985,Ex,-46.6034,25.7853,70.6217,-45.12925052,24.93463962,71.2562937
L2985,En,-14.8015,20.7804,79.5764,-14.37571121,19.27154714,79.73808506
L2985,Al,-14.5319,-16.8039,79.0156,-12.14199921,-15.38378365,79.43702499
L2985,Sbal,-7.18316,-19.0843,84.4555,-7.723661026,-18.5758465,86.1335909
L2985,Ch,-21.1721,-41.6701,75.4597,-19.51242708,-42.70484265,75.73775134
L2985,Prn,4.30862,-8.6001,101.075,4.30862,-8.6001,101.075
M8807,Ft,-76.5422,49.7389,10.238,-77.1485477,48.32488449,13.01588313
M8807,Ex,-49.702,30.2194,40.8765,-50.48835998,29.06415487,40.35694206
M8807,En,-20.4448,27.9975,46.245,-21.5171347,27.84753042,47.40380596
M8807,Al,-21.0568,-7.3002,52.3846,-22.15867475,-6.084590483,52.65018014
M8807,Sbal,-13.9626,-10.0068,58.3168,-16.35231536,-10.63038408,56.55857766
M8807,Ch,-31.6832,-33.9909,45.6596,-31.03875298,-33.26696597,44.34923093
M8807,Prn,-4.52221,-0.645955,76.0928,-4.52221,-0.645955,76.0928
N8891,Ft,-37.1132,33.5832,83.7178,-35.69333191,32.35984884,81.36768439
N8891,Ex,-23.7771,10.3526,98.0585,-23.53130744,10.74627544,96.4646187
N8891,En,8.08326,5.49214,110.261,8.9849717,4.57749575,109.1567745
N8891,Al,6.49021,-32.5394,110.383,7.464545055,-32.22120224,109.8494635
N8891,Sbal,15.277,-36.9348,114.36,15.77801139,-35.57731413,113.5893476
N8891,Ch,0.132526,-58.6182,100.417,-1.499856606,-57.96571288,99.71010755
N8891,Prn,25.6871,-27.5252,129.868,25.6871,-27.5252,129.868
O4837,Ft,-57.1728,42.5023,-20.4771,-56.27634162,43.22553871,-18.46309207
O4837,Ex,-40.275,21.2013,-0.689126,-41.05400924,21.99068505,0.997468252
O4837,En,-13.9455,18.5571,2.04823,-13.17033068,19.34220068,1.647685826
O4837,Al,-14.3449,-22.707,10.9386,-12.99069447,-20.8881632,10.25972515
O4837,Sbal,-9.0961,-25.1066,18.1826,-10.45035864,-25.71111765,19.51594537
O4837,Ch,-21.9538,-47.5497,7.59361,-22.41003571,-48.26615656,9.037827252
O4837,Prn,1.09813,-15.1883,36.716,1.09813,-15.1883,36.716
P9721,Ft,-58.5541,75.2283,-2.79749,-58.20664063,76.51681697,-2.493184561
P9721,Ex,-42.6932,59.4765,12.4824,-42.33044388,59.95846149,13.87628098
P9721,En,-14.3458,53.4966,19.4827,-14.89330852,53.19440345,20.03525197
P9721,Al,-13.438,16.7318,26.9861,-12.76891467,13.6418301,26.56606516
P9721,Sbal,-8.85731,12.351,28.2885,-9.800186695,10.51639894,28.64541041
P9721,Ch,-23.9213,-6.11139,14.0684,-23.65199797,-4.509294281,13.170854
P9721,Prn,2.39688,18.8231,47.2023,2.39688,18.8231,47.2023
